Campagne;Region;Site;Famille;Variete;Num Parcelle;Code Traçabilité;Date;Qté eau (m3)
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;13/08/23;141,0000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;14/08/23;141,0000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;15/08/23;141,0000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;16/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;17/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;18/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;19/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;20/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;21/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;22/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;23/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;24/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;25/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;26/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;27/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;28/08/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;01/09/23;188,1000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;02/09/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;03/09/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;04/09/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;05/09/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;06/09/23;93,9000
22/23;TADLA;Beni Mellal;ORA;ORA4;20070;TR20400;07/09/23;93,9000
