Campagne;Region;Site;Famille;Variete;Num Parcelle;CodeTracabilite;Date Plantation;Date Arrachage;Porte Greffe;Sup Debut Camp;Sup Plantee;Sup Arrachee;Sup Fin Camp;;
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;11011;TR11011;01/07/05;;PG1;5,3219;0,0000;0,0000;5,3219;;
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;12010;TR12010;01/07/05;;PG2;3,1979;0,0000;0,0000;3,1979;;
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;12020;TR12020;01/07/05;;PG2;7,3516;0,0000;0,0000;7,3516;;
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;12050;TR12050;02/07/09;;PG3;2,0610;0,0000;0,0000;2,0610;;
20/21;GHARB;Douar Oued Mahdouma;AF;AF1;13010;TR13010;04/06/14;;PG2;5,6639;0,0000;0,0000;5,6639;;
20/21;GHARB;Douar Oued Mahdouma;ORA;ORA2;15060;TR15060;02/06/07;01/01/22;PG2;3,0856;0,0000;0,0000;3,0856;;
20/21;GHARB;Douar Oued Mahdouma;ORA;ORA4;14010;TR14010;01/06/05;;PG4;8,8778;0,0000;0,0000;8,8778;;
20/21;GHARB;Rabat;CLA;CLA18;12251;TR12251;01/01/81;;PG5;0,5147;0,0000;0,0000;0,5147;;
20/21;GHARB;Rabat;CLA;CLA18;12252;TR12252;01/01/81;;PG5;0,5310;0,0000;0,0000;0,5310;;
20/21;GHARB;Rabat;SPA;SPA10;12022;TR12022;01/01/93;;PG5;0,4140;0,0000;0,0000;0,4140;;
20/21;GHARB;Rabat;SPA;SPA10;12062;TR12062;01/01/93;;PG5;0,4069;0,0000;0,0000;0,4069;;
20/21;GHARB;Rabat;SPA;SPA10;12122;TR12122;01/01/93;;PG5;0,4159;0,0000;0,0000;0,4159;;
20/21;GHARB;Rabat;SPA;SPA10;12271;TR12271;01/01/75;;PG5;0,4108;0,0000;0,0000;0,4108;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA1;13030;TR11130;01/09/15;30/09/60;PG6;1,7499;0,0000;0,0000;1,7499;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA6;18030;TR11140;20/05/17;;PG6;1,0930;0,0000;0,0000;1,0930;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA12;13010;TR11120;01/08/15;01/11/21;PG6;2,3674;0,0000;0,0000;2,3674;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA14;12010;TR11090;30/07/09;;PG6;3,5341;0,0000;0,0000;3,5341;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA14;12020;TR11100;30/07/09;;PG7;1,6688;0,0000;0,0000;1,6688;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA14;12030;TR11110;20/07/10;;PG6;2,3338;0,0000;0,0000;2,3338;;
20/21;GHARB;Chorf Laghouazi;CLA;CLA14;12040;TR11110;05/06/11;;PG6;5,2713;0,0000;0,0000;5,2713;;
20/21;GHARB;Chorf Laghouazi;ORA;ORA2;17010;TR23070;07/07/10;;PG6;2,6888;0,0000;0,0000;2,6888;;
20/21;GHARB;Chorf Laghouazi;ORA;ORA2;17020;TR23080;20/07/10;;PG4;3,0856;0,0000;0,0000;3,0856;;
