Id;Campagne;Region;Site;Famille;Variete;Num Parcelle;CodeTracabilite;Date;Tonnage
1;20/21;GHARB;Chorf Laghouazi;CLA;CLA1;13030;TR11130;01/10/2020;269,855
2;20/21;GHARB;Chorf Laghouazi;CLA;CLA6;18030;TR11140;01/10/2020;101605,9951
3;20/21;GHARB;Chorf Laghouazi;CLA;CLA12;13010;TR11120;01/10/2020;170,354
4;20/21;GHARB;Chorf Laghouazi;CLA;CLA14;12010;TR11090;01/10/2020;37891,08567
5;20/21;GHARB;Chorf Laghouazi;CLA;CLA14;12020;TR11100;01/10/2020;45197,56034
6;20/21;GHARB;Chorf Laghouazi;CLA;CLA14;12030;TR11110;01/10/2020;252,296
7;20/21;GHARB;Chorf Laghouazi;CLA;CLA14;12040;TR11110;01/10/2020;155227,3985
8;20/21;GHARB;Chorf Laghouazi;CLA;CLA7;14010;TR11010;01/10/2020;46259,91746
9;20/21;GHARB;Chorf Laghouazi;CLA;CLA14;12010;TR11020;01/10/2020;111,824
10;20/21;GHARB;Chorf Laghouazi;CLA;CLA15;13010;TR11040;01/10/2020;27254,34902
11;20/21;GHARB;Ben Mansour;CLA;CLA13;11130;TR11130;01/10/2020;36082,22357
12;20/21;GHARB;Ben Mansour;CLA;CLA13;11212;TR11212;01/10/2020;48051,99275
13;20/21;GHARB;Ben Mansour;CLA;CLA14;11211;TR11211;01/10/2020;24892,98368
14;20/21;GHARB;Ben Mansour;CLA;CLA15;11140;TR11140;01/10/2020;34291,535
15;20/21;GHARB;Ben Mansour;CLA;CLA16;11160;TR11160;01/10/2020;4199
16;20/21;GHARB;Jorf El Melha;CLA;CLA1;14010;TR14000;01/10/2020;818
17;20/21;GHARB;Jorf El Melha;CLA;CLA1;14020;TR14000;01/10/2020;97627,4
18;20/21;GHARB;Jorf El Melha;CLA;CLA7;13010;TR13000;01/10/2020;16104,2
19;20/21;GHARB;Jorf El Melha;CLA;CLA7;13020;TR13000;01/10/2020;19665,8
20;20/21;GHARB;Jorf El Melha;CLA;CLA7;13030;TR13030;01/10/2020;677
21;20/21;GHARB;Jorf El Melha;CLA;CLA14;11010;TR11000;01/10/2020;108,35
22;20/21;GHARB;Jorf El Melha;CLA;CLA14;11020;TR11000;01/10/2020;75,35
23;20/21;GHARB;Jorf El Melha;CLA;CLA15;12010;TR12000;01/10/2020;84,2
24;20/21;GHARB;Jorf El Melha;CLA;CLA15;12020;TR12000;01/10/2020;101,6
25;20/21;HAOUZ;Marrakech;CLA;CLA14;12010;TR11402;01/10/2020;77,15
26;20/21;HAOUZ;Marrakech;CLA;CLA14;13010;TR11302;01/10/2020;68
27;20/21;HAOUZ;Marrakech;CLA;CLA14;13070;TR11302;01/10/2020;71,6
28;20/21;HAOUZ;Marrakech;CLA;CLA14;13110;TR11302;01/10/2020;73,85
29;20/21;HAOUZ;Marrakech;CLA;CLA14;13120;TR11302;01/10/2020;11446,85
30;20/21;HAOUZ;Marrakech;CLA;CLA14;13130;TR11105;01/10/2020;3045,8
31;20/21;HAOUZ;Marrakech;CLA;CLA14;13170;TR11203;01/10/2020;3779
32;20/21;HAOUZ;Marrakech;CLA;CLA15;11050;TR11602;01/10/2020;18739,352
33;20/21;HAOUZ;Marrakech;CLA;CLA15;11112;TR11602;01/10/2020;15665,15
34;20/21;HAOUZ;Marrakech;CLA;CLA10;24101;TR21606;01/10/2020;43643,57174
35;20/21;HAOUZ;Marrakech;CLA;CLA14;23040;TR21202;01/10/2020;47828,86964
36;20/21;HAOUZ;Marrakech;CLA;CLA14;20218;TR20218;01/10/2020;20220,2
37;20/21;HAOUZ;Marrakech;CLA;CLA14;20435;TR20435;01/10/2020;8489,46578
38;20/21;HAOUZ;Marrakech;CLA;CLA14;20436;TR20436;01/10/2020;35112,63884
39;20/21;SOUSS;Ouled Teima;CLA;CLA15;11010;TR11010;01/10/2020;2404,4354
40;20/21;SOUSS;Ouled Teima;CLA;CLA15;12010;TR12010;01/10/2020;67554,1052
41;20/21;SOUSS;Qrarma;CLA;CLA6;11020;TR11020;01/10/2020;1490
42;20/21;SOUSS;Qrarma;CLA;CLA9;21100;TR21100;01/10/2020;33573,224
43;20/21;SOUSS;Qrarma;CLA;CLA14;31110;TR31110;01/10/2020;24065
44;20/21;SOUSS;Qrarma;CLA;CLA14;31120;TR31120;01/10/2020;2093
45;20/21;SOUSS;Qrarma;CLA;CLA14;31130;TR31130;01/10/2020;44820,152
46;20/21;SOUSS;Qrarma;CLA;CLA14;41020;TR41020;01/10/2020;51215
47;20/21;SOUSS;Qrarma;CLA;CLA14;41050;TR41020;01/10/2020;49344,464
48;20/21;SOUSS;Qrarma;CLA;CLA14;41070;TR41070;01/10/2020;12562,064
49;20/21;SOUSS;Qrarma;CLA;CLA14;41080;TR41080;01/10/2020;42761
50;20/21;SOUSS;Qrarma;CLA;CLA14;41090;TR41090;01/10/2020;2090
51;20/21;SOUSS;Qrarma;CLA;CLA14;41100;TR41100;01/10/2020;12416
52;20/21;SOUSS;Qrarma;CLA;CLA14;41110;TR41110;01/10/2020;20919,5
53;20/21;SOUSS;Qrarma;CLA;CLA14;51010;TR51040;01/10/2020;7613,6
54;20/21;SOUSS;Qrarma;CLA;CLA14;51030;TR51050;01/10/2020;5585
55;20/21;SOUSS;Qrarma;CLA;CLA14;51040;TR51040;01/10/2020;18143
56;20/21;SOUSS;Qrarma;CLA;CLA14;51050;TR51050;01/10/2020;66395,9
57;20/21;SOUSS;Qrarma;CLA;CLA15;21010;TR21010;01/10/2020;9952,7
58;20/21;SOUSS;Qrarma;CLA;CLA15;21030;TR21030;01/10/2020;6221
59;20/21;SOUSS;Qrarma;CLA;CLA15;21040;TR21040;01/10/2020;5840,3
60;20/21;SOUSS;Qrarma;CLA;CLA15;21050;TR21050;01/10/2020;3443
61;20/21;SOUSS;Qrarma;CLA;CLA15;21060;TR21060;01/10/2020;3305
62;20/21;SOUSS;Qrarma;CLA;CLA15;21080;TR21080;01/10/2020;5105
63;20/21;SOUSS;Qrarma;CLA;CLA15;21090;TR21090;01/10/2020;80611,7
64;20/21;SOUSS;Qrarma;CLA;CLA15;21110;TR21110;01/10/2020;21800
65;20/21;SOUSS;Qrarma;CLA;CLA15;21120;TR21120;01/10/2020;15694,688
66;20/21;SOUSS;Qrarma;CLA;CLA15;31020;TR31020;01/10/2020;12899
67;20/21;SOUSS;Qrarma;CLA;CLA15;31030;TR31030;01/10/2020;29113,88
68;20/21;SOUSS;Qrarma;CLA;CLA15;31040;TR31080;01/10/2020;28844,57243
69;20/21;SOUSS;Qrarma;CLA;CLA15;31050;TR31030;01/10/2020;2687
70;20/21;SOUSS;Qrarma;CLA;CLA15;31060;TR31060;01/10/2020;3971,40608
71;20/21;SOUSS;Qrarma;CLA;CLA15;31070;TR31030;01/10/2020;341
72;20/21;SOUSS;Qrarma;CLA;CLA15;31080;TR31080;01/10/2020;7594,568
73;20/21;SOUSS;Qrarma;CLA;CLA15;31090;TR31030;01/10/2020;26660,165
74;20/21;SOUSS;Qrarma;CLA;CLA15;31100;TR31100;01/10/2020;2273
75;20/21;SOUSS;Qrarma;CLA;CLA18;21070;TR21070;01/10/2020;47628,27773
76;20/21;SOUSS;Ouled Abbou;SPA;SPA3;21031;TR21031;01/10/2020;2273
77;20/21;SOUSS;Ouled Abbou;SPA;SPA4;21071;TR21071;01/10/2020;1445
78;20/21;SOUSS;Ouled Abbou;SPA;SPA5;21021;TR21021;01/10/2020;5825
79;20/21;SOUSS;Ouled Abbou;SPA;SPA6;21121;TR21121;01/10/2020;46592
80;20/21;SOUSS;Ouled Abbou;SPA;SPA7;21081;TR21081;01/10/2020;39002
